,Date,Hour,AM/PM,Wind_Speed,Rain_Ml,Condition,Only_Hour,Full_Hour
251,2015-01-11,12:00,PM,24.0,0.0,Fair,12,12
252,2015-01-11,1:00,PM,19.0,0.0,Fair,1,13
253,2015-01-11,2:00,PM,20.0,0.0,Fair,2,14
254,2015-01-11,3:00,PM,20.0,0.0,Mostly Cloudy,3,15
255,2015-01-11,4:00,PM,22.0,0.0,Mostly Cloudy,4,16
256,2015-01-11,5:00,PM,19.0,0.0,Mostly Cloudy,5,17
257,2015-01-11,6:00,PM,20.0,0.0,Mostly Cloudy,6,18
258,2015-01-11,7:00,PM,19.0,0.0,Partly Cloudy,7,19
259,2015-01-11,8:00,PM,13.0,0.0,Fair,8,20
260,2015-01-11,9:00,PM,13.0,0.0,Fair,9,21
261,2015-01-11,10:00,PM,11.0,0.0,Fair,10,22
262,2015-01-11,11:00,PM,11.0,0.0,Fair,11,23
263,2015-01-12,12:00,AM,11.0,0.0,Fair,12,0
264,2015-01-12,1:00,AM,11.0,0.0,Fair,1,1
265,2015-01-12,2:00,AM,13.0,0.0,Fair,2,2
266,2015-01-12,3:00,AM,13.0,0.0,Fair,3,3
267,2015-01-12,4:00,AM,11.0,0.0,Fair,4,4
268,2015-01-12,5:00,AM,9.0,0.0,Fair,5,5
269,2015-01-12,6:00,AM,7.0,0.0,Fair,6,6
270,2015-01-12,7:00,AM,13.0,0.0,Fair,7,7
271,2015-01-12,8:00,AM,20.0,0.0,Fair,8,8
272,2015-01-12,9:00,AM,15.0,0.0,Fair,9,9
273,2015-01-12,10:00,AM,19.0,0.0,Fair,10,10
274,2015-01-12,11:00,AM,19.0,0.0,Fair,11,11
275,2015-01-12,12:00,PM,19.0,0.0,Fair,12,12
276,2015-01-12,1:00,PM,20.0,0.0,Fair,1,13
277,2015-01-12,2:00,PM,13.0,0.0,Fair,2,14
278,2015-01-12,3:00,PM,13.0,0.0,Fair,3,15
279,2015-01-12,4:00,PM,15.0,0.0,Fair,4,16
280,2015-01-12,5:00,PM,11.0,0.0,Fair,5,17
281,2015-01-12,6:00,PM,13.0,0.0,Fair,6,18
282,2015-01-12,7:00,PM,9.0,0.0,Fair,7,19
283,2015-01-12,8:00,PM,7.0,0.0,Fair,8,20
284,2015-01-12,9:00,PM,11.0,0.0,Fair,9,21
285,2015-01-12,9:25,PM,33.0,0.0,Fair / Windy,9,21
286,2015-01-12,10:00,PM,41.0,0.0,Partly Cloudy / Windy,10,22
287,2015-01-13,12:00,AM,39.0,0.0,Mostly Cloudy / Windy,12,0
288,2015-01-13,1:00,AM,33.0,0.0,Mostly Cloudy / Windy,1,1
289,2015-01-13,2:00,AM,30.0,0.0,Mostly Cloudy,2,2
290,2015-01-13,3:00,AM,30.0,0.0,Mostly Cloudy,3,3
291,2015-01-13,4:00,AM,37.0,0.0,Mostly Cloudy / Windy,4,4
292,2015-01-13,5:00,AM,26.0,0.0,Mostly Cloudy,5,5
293,2015-01-13,6:00,AM,13.0,0.0,Mostly Cloudy,6,6
294,2015-01-13,7:00,AM,22.0,0.0,Thunder,7,7
